############################################################################################################
# This is the online data table for the paper H. Li et. al (2017, in prep)
# "SDSS-IV MaNGA: Discovery and properties of 38 galaxies with minor-axis rotation"
#
# Table title: MaNGAID, ra dec and parameters for the galaxies in Control M^*_{ALL} sample
############################################################################################################
#  MaNGA ID  |    Ra    |    Dec   |  logM^*  |   Sigma  |Delta g-i|   Eps   |lambda_Re|logRe^maj|M^T_{1/2}|
#            |          |          |  M_sun   |L_sun/pc^2|         |         |         |  (kpc)  |  M_sun  |
#     (1)    |    (2)   |    (3)   |   (4)    |    (5)   |   (6)   |   (7)   |    (8)  |   (9)   |   (10)  |
############################################################################################################
1-91582       239.33915   54.67107    11.47       2.45      0.09      0.13      0.08      1.05      11.89  
1-576431      234.61407   46.30835    11.26       2.33      0.05      0.16      0.09      1.06      11.69  
1-134978      246.42637   43.93177    11.22       2.56      0.07      0.28      0.08      1.04      11.90  
1-594520      247.61210   40.72508    10.99       2.72      0.08      0.57      0.43      0.80      11.39  
1-135129      247.28027   40.59103    10.83       2.61      0.05      0.64      0.62      0.90      11.08  
1-178473      259.67383   27.94106    10.51       2.83      0.08      0.69      0.41      0.64      10.90  
1-260809      208.06375   40.14913    11.37       2.23      0.09      0.48      0.10      1.25      11.89  
1-92866       243.58182   50.46561    11.27       2.32      0.10      0.23      0.11      1.10      11.71  
1-402409      205.38602   38.78800    11.12       2.06      -0.01     0.07      0.10      1.18      11.82  
1-560826      236.16573   38.42536    11.20       2.68      -0.03     0.22      0.13      0.95      11.58  
1-148086      156.69961   48.12904    11.35       2.38      0.22      0.34      0.49      1.20      12.03  
1-542327      245.52465   50.01685    11.27       2.68      0.13      0.60      0.55      1.00      11.61  
1-209109      235.57481   48.21566    10.98       2.41      0.04      0.13      0.04      0.82      11.56  
1-92537       243.04400   47.90643    11.37       2.40      0.06      0.15      0.16      1.08      11.90  
1-210802      246.74901   39.32012    10.58       2.97      0.06      0.74      0.50      0.67      10.84  
1-135503      247.88211   39.89765    10.75       2.69      0.05      0.32      0.33      0.61      11.19  
1-633587      241.23561   41.35724    11.01       2.62      0.04      0.24      0.07      0.85      11.50  
1-547210      258.19022   36.27886    11.12       2.28      0.22      0.46      0.56      1.11      11.90  
1-94228       248.01827   47.76476    10.59       2.77      0.09      0.16      0.29      0.53      10.95  
1-284523      197.98310   46.90719    10.77       2.79      0.09      0.32      0.40      0.55      11.06  
1-91550       240.18670   53.77553    11.22       2.23      0.14      0.41      0.11      1.22      12.03  
1-93876       246.94294   44.17752    11.07       2.38      -0.01     0.09      0.09      1.02      11.69  
1-210701      247.84410   39.16783    10.80       2.92      0.09      0.68      0.48      0.62      11.19  
1-178442      260.46451   27.26468    11.17       2.65      0.02      0.41      0.17      0.92      11.72  
1-209049      236.09284   47.85358    11.25       2.55      0.01      0.14      0.04      1.00      11.82  
1-255890      163.24990   43.04861    11.18       2.35      0.17      0.31      0.04      1.13      11.86  
1-402487      203.27505   37.96674    10.79       2.50      0.08      0.11      0.20      0.68      11.00  
1-258599      186.18100   44.41077    11.34       2.47      0.27      0.25      0.15      1.04      12.08  
1-277992      168.09403   44.81604    11.26       2.51      0.03      0.31      0.04      1.02      11.90  
1-92771       243.42516   48.89922    11.00       2.61      0.07      0.26      0.12      0.86      11.51  
1-594483      247.08324   38.81141    11.02       2.71      0.05      0.03      0.08      0.68      11.29  
1-210323      243.76939   43.59551    11.50       2.41      0.03      0.04      0.05      1.08      11.92  
1-594528      247.72489   39.84757    10.93       2.77      0.12      0.53      0.55      0.80      11.39  
1-95825       254.09663   38.36347    10.63       2.98      0.24      0.60      0.57      0.56      11.01  
1-92774       243.40771   49.06941    10.77       2.70      0.05      0.09      0.18      0.57      11.18  
